title,text,symbols
Five Stars,Loved this book and the theory that a woman was pope. Nice easy read and good story.,
Very nice!,Very nice and easy to use!,
Learn to unlearn everything you know,"This book has a very specific audience and it is perfect. You will find yourself down the rabbit hole exploring creatures that exist in someone's mind. There are no photographs, just artwork. Now the great thing about this book is that it also serves as an episode guide for the Unbelievable Podcast (RIP).",
quick reference,"good for having in your pocket to sneak a peek when your senior isnt lookin.con - didnt have all the ""essential"" drugs probably becuz its an older version.would recommend the newer version.easy read tho and alphabetical so easy to find what ur looking for..good for quick review as well",
Like the large print.,My bf and I work these together.  These are challenging puzzles.,
Easy to use,Great for planning your Bills each month and easy to use.,
Good mystery,"Some books just hit the ""right key"", this one had all the components to keep me interested every page. Is it a literary great? Probably not, but absolutely enjoyable!",
Yes,Perfecto,
"Still good, although the fictional parts are perhaps less believable","First posted on Amazon.co.uk on 31st May..I very much liked the previous novel about King Edwin, Oswald’s predecessor and nephew, by the same author. This one picks up and continues the story but with Oswald as the main character. As has been mentioned a number of times by many, little is known about the historical character of Oswald, but he has been a major source of inspiration, starting with Tolkien, and this book’s subtitle (Return of the King) hints at...There is much to commend in this book, but also some things that did not work well for me...Among the positive elements are the influence on Oswald and the political role played by the monastery of Iona, and its abbot Ségéne (a historical character) who do seem to have supported the Northumbrian’s bid for the throne with a contingent of armed monks and his fight against Cadwallon, despite the latter being a Celt. His reward was to replace the Roman Church with the Celtic one. The monk Aidan, who does seem to have Oswald’s friend, did become bishop and founded Lindinsfarne with the King’s support...The political relations between the various kingdoms are just as well-presented as they were in the previous volume on Edwin, whether these were Celtic, Angles or Saxons. Of particular interest is the attitude of the Briton King of Rheged. While the personality of this king might be fictional, his behaviour - he was ready to side against Cadwallon King of Gwynedd in order maintain his own independence and prevent the Welsh king from becoming too powerful although both were Britons – seems to have been fairly typical of the period and shared among most Kings, irrespective of their origins...On a different note, the description of the ex-Roman fortress of Carlisle, the seat of the King of Rheged’s power, is well-done and particularly interesting, just as that of the derelict fortifications of Hadrian’s Wall near which Oswald fought his decisive battle against Cadwallon...Another particularly good feature, which could perhaps have been developed even more, is to show to what extent Oswald relied on his younger brother (and future successor) Oswiu and how the two “shared the work” between them. This is probably one of the main reasons that allowed the Northumbrians lead by Oswiu to conquer Goddodin and take the fortress of Edinburgh while Oswald was holding Northumbria together. It is also this “division of labour” that allowed them to repel Penda’s attack on East Anglia without fear of being attacked in turn on another front by one of the other kings...Another good set of features are the inclusions of glossary, map, list of the main characters, a note on pronunciation and a few pages summarising the main events of Edwin’s reign. I found these features particularly helpful to follow the intrigue and complex relationships and marriage alliances between the various kingdoms and pretenders to the various crowns. The little summary of the previous book is particularly helpful for anyone reading this one without the benefit of having read the first title. This allows Oswald to be read as a stand-alone book, as opposed to most series...I liked this book, found it an exciting read, and could not put it down. I did however have three problems the author’s fictional choices. One was that I found some of them hard to believe or even bordering on the caricature. While I will refrain from elaborating too much in order to avoid spoilers, I got the impression at times that the book was about Oswald the dutiful Saint, Cadwallon the delusional, and Penda the treacherous...Cadwallon’s portrait was particularly difficult to believe. While Cadwallon does seem to have tried to portray himself as the returning Arthur and this may have turned out to be a political blunder because it alienated other British Kings, he is shown in this book as whining, delusional and even cowardly, rather than the crafty and powerful ruler that he probably was and who over-reached, with his last gamble goinf badly wrong...Another point is that there is nothing to confirm Oswald’s inner desire to retire from the world and become a monk, or his ascetic behaviour. There were quite a few other reasons than these for making him into a Saint shortly after his death, including his care for the poor and destitute, which seems to have been genuine. The supposed tension between Oswald and his younger brother, and the source of this tension, also seem to have been invited by the author while this is the first time I have ever heard of Penda having also a brother...While what happened to Oswald’s body is drawn from the sources, his death may not have been caused by the elaborate and somewhat complicated plot contained in the book. A much simpler explanation was that Oswald and his followers were on a raiding expedition and got caught far from their base. Cornered and badly outnumbered, they were destroyed, which is something that happened quite frequently given the kind of warfare that was taking place at the time...Finally, there is again the question of numbers on each side when describing the various battles between the military households of the various warlords. Here again, the author has chosen a minimalist approach with “armies” in the very low hundreds at most, or even less than a hundred. While there is no way to be sure whether this is exaggerated or not, I cannot help thinking that it would be somewhat difficult to form a shield wall with only eighty warriors. Here again, however, as with the author’s characterisation, this is about perceptions and personal preferences more than anything else so that I will rate this book four stars, despite slightly preferring the first volume...Again, for those wanting to check historical elements or learn more about Oswald on the one hand and warfare during these times on the other, I can recommend Max Adams’ “King of the North”, which is about much more than Oswald and also covers the reign of his uncle Edwin and Guy Halsall’s “Warfare and Society in the Barbarian West (450-900).",
required for my class,"Horrible to read. This book is difficult to understand and the problems are confusing. I am pretty comfortable with Microeconomics, but this book is not clear at all. Wouldn't recommend, if you have an option!",
Haven't read it yet,So what can I write in this review except that I've looked at other books by the same author and they seem to be something I can stomach reading so I thought I'd give this book a try and maybe learn a little physics in the process.,
Great book,I try to read the books my kids are reading and my ten year old was reading this. He finished it in one day. I didn't really want to read it but  as soon as I started I was hooked. It moved at a good speed and was fun and clever. I just ordered the other two and we will see if my son beats me to the mailbox.,
Five Stars,Very interesting read.,
My favorite. A good courtroom novel about a good guy lawyer.,I am already downloading Michael Stagg’s second novel in this series. A touch of John Grisham with a lot of heart and an enjoyable read.,
A must have,This is a beautiful done book.  The pictures are well drawn on nice quality paper.  This is a hardcover book that comes with a attached ribbon as a bookmark.  I highly recommend getting this.,
Recommend for Calvin and Hobbes fans,I love Calvin and Hobbes and was sorry to see them leave the comics. Follow the adventures of Calvin and his stuffed tiger as they create chaos at home and school.,
Five Stars,A very good book for the beginner enamelist.,
Good deal,book was sent promptly and i was able to do what I needed to do and that was to rebuild the engine needed some tips and torque specs....,
Five stars,A beautiful book,
Fast and easy,Fast and easy,
GREAT book!,Beautiful!  You won't be disappointed with this book.  ALL ages enjoy reading this book.  I can't say enough about it.  My family has thoroughly enjoyed using this book during our own monarch adventures.,
Great book. Even though it is a children's book,"Great book.  Even though it is a children's book, it is quite entertaining for adults as well.  You can really feel her emotions and thinking.  Was a wonderful listen with the family.  Glad she is writing more.",
Five Stars,Thank you,
great bargain,"have not read it, but all Tom Clancy novels are great, especially the Ryan ones.  Book received in like new condi]tion.",
Loved it,"I have been waiting for this author to release this book and I am happy to say that she did not disappoint me with this story...Wow, this book was amazing! I absolutely loved the twisted story-line. It makes me think twice about meeting a stranger. This author has a magnificent way of writing stories that keeps you glued from beginning to end. I highly recommend this story to all paranormal lovers who loves a good and twisted short story. This is one story I will re-read over and over again...I received a Smashwords copy, in return for an honest review.",
Hilarious Yet Inspirational,"Content wise this was another fantastic entry into the Assassination Classroom universe. It does well at giving us lots of fun and games for the students to develop them a bit more. Rather than focusing on many assassination plots, we instead get one major event while the rest focuses on development key students (like Terasaka) or enhancing our experience with their relationship with each other and with students in the main class. This is done with comedy in mind but an underlying theme of students wanting to rise from their low state and reach their full potential. It is inspirational...I do have to ding some points for the volume, there were about two instances of typos in the text or just weird grammar. Additionally there were no extras beyond an afterward and the usual in between chapter inserts. Though the inserts this time were quite hilarious. The slime one is probably the one that people will find most memorable...All in all Assassination Classroom has not lost any of its steam since its debut and is still one of the best manga in Viz's Lineup.",
Wonderful book for dads to read to their children.,This book is a great one for dads to read to their children. I am also glad there are books with diverse peoples in them.,
Great story for young readers,My five year old loves this story and reads it over and over.,
Hello gate,"Good book.  Better have your mind open and think outside the box.  I enjoyed reading this real late at night, real late. Hope everyone enjoys this as well. Thanks",
Two Stars,Too much bad language.,
Five Stars,A wonderful series each book in the series has drawn me in from the first pages.,
Five Stars,"Both of my boys love these books, but they are a little flimsy with use.",
Five Stars,"really good, that is what i want. thx!",
So fun,Loved the set up for the next series. Love all these characters,
CT you had me from the beginning in your corner and Ida Sue made me want to have you come fix things at my house. Lol,"This book was phenomenal start to finish with some of the best one LINERS I have ever read and the things Ida Sue comes up with had me rolling and laughing..Titan is our one and only CT who wakes up in Vegas to discover that in a drunken stupor has married a lady who, although was hot, he doesn't want to stay married to. He has other commitments to take care of, and a wayward wife doesn't fit into these commitments..Our darlin female is not happy when she wakes up and realises she is married to Titan AKA Big Daddy and does what most females do when we have messed up, she runs. Fast and far away. But can you ever really run from your problems?.These two are the perfect couple when they work their issues out and the interactions they have together are pure gold and will have you laughing until you become teary eyed. Throw in our Ida Sue and other family members and it makes for one kick butt new edition to the ever increasing awesomeness that is our Jordan Marie..I won't say there wasn't some bumps in the road for the couple's HEA,  but never was there a time that you felt the story was dragging or that you wished it would just hurry up and end. To me the exact opposite was going on. I was so hooked that I read as fast as I could to get to the next interaction with CT and Ida Sue, because they were off the charts funny..THIS author get a better with everything she writes and is so into her supporters that it gives me great privilege to read and review her books..Highly recommend this newest book and can't wait for the next one.",
So far so good but the print is the tiniest ever!!!,I like it so far. I just hope my eyesight can holdout. This paperback has the smallest print known to mankind. Maybe the hardcover is better.,
Skip the Sequel,"I happened across Finney's Time and Again and it was a delight...highly original, vivid in its descriptions of 19th century New York with an engaging plot and characters. This sequel is a messy follow-up that is just too forced. One of its characters states that he dislikes the word ""nostalgia"" but that is what this whole effort communicates. Finney gets tied up in a cloying, irritating homage to simpler times that is meandering and uninteresting. I wish I had not picked it up and had only the memory and experience of the first book. One interesting item of note, I believe Stephen King was influenced by one thing that takes place in From Time to Time...the main character hums and sings a song from his future era which causes his wife concern. That same ploy was used in King's 11/22/63.",
This is one fantastic book! Buy the Kindle version or the hardcover ...,"This is one fantastic book!.Buy the Kindle version or the hardcover version-now..Life is all about &#34;using the fine china and silverware.&#34;..This book will tell you things about these men and the men that lived when they lived that you will not believe..I will not go into specifics about this masterpiece-that would be very rude.  I would be taking away from the reader things that you must read for yourself.  If you love human nature,airplanes, and all things aviation buy this book.  I was unable to put it down.  We owe them a debt that we shall never be able to repay...",
Three Stars,Was very good... the ending was a bit disappointing.,
Compelling story of post-deployment re-adjustment,"NOTE:  I received a free review copy of this book from the publisher...This was my first book from author Drusilla Campbell.  I became easily engaged in the subject matter, the story of a woman's re-adjustment to home life after her deployment in Iraq.  Campbell's writing is engaging, and the book was a quick read.  The one issue I had is that early in the novel, it is somewhat difficult to have much empathy for main character Frankie, who comes off as quite abrasive.  The reader might be more understanding with more insight into Frankie's situation--namely, her post-traumatic stress disorder (PTSD), but this doesn't come until much later.  Still, if the reader has patience for Frankie, her story is a compelling, worthwhile read.",
Hugely disappointing,"Why this book is so highly rated is completely beyond me. This is really poorly written, even the separation of chapters makes no sense. The story is bland, the ""characters"" bland, the twists it tries to go for just seem so forced and fake. This reminds me of one of those wildly popular tv series that is really low quality but is on network tv and can appeal to the most possible people.",
Well Told Story,"Wonderful read. Bogs down a bit toward the last few chapters, but Leonard is an intriguing storyteller who compels you to keep reading. Engrossing, but not overly wrought and not intellectually taxing. I am a Jack Reacher fan, having read over 20 of Lee's books and I would put Leonard in Lee's class of authors.",
Still on my private library,"I thought maybe it had a couple of pictures in it but nope. Just words.Very complete, the information is easy to read and find.",
Super cute,Very cute,
Five Stars,Great Transaction! Awesome Merchandise!,
Typical Schlichter,"Anyone who has read Schlichter’s columns will immediately recognize the sardonic humor and political perspective represented in People’s Republic.  America has split into Red and Blue countries.  The Blues espouse all the values of the Left (gun control, abortion on demand, climate change, government run business and hardcore law enforcement).  The Reds maintain the traditional American values, it’s Constitution, free markets, personal liberties and free speech.  And you know where Schlichter takes it from there.  With dripping sarcasm, he describes life in the Blue zone pretty much as it is in Venezuela and Cuba by simply extending the existing trends of today’s Left.  His military background lends credibility to his protagonist, Kelly Turnbull (ex-Special Forces) who is hired, from time to time, by the USA to conduct secret missions behind enemy lines.  Turnbull turns out to be a stone-cold killing machine. So, Schlichter combines politics and action-adventure to create some pretty funny and entertaining stuff.  It’s not exactly Shakespeare but it will do as well as a glass of smooth scotch on a rainy day to put that warm glow in your stomach.  Now on to Indian Country.",
I just hope Vince Flynn had several more novels in ...,I just hope Vince Flynn had several more novels in the works that can be published.  I do not want to give up Mitch Rapp.,
Good Workbook,The best thing about this workbook is that it is designed to present a math problem per day as part of a practice regiment. It covers a wide range of math problems at the second grade level. It is a 36 week progressive program along with scope and sequence charts for standardized testing.  Another place that thinks about teaching math differently is  the Beestar website. It is nice to see that teaching math has changed somewhat since I was a kid. Part of a series of workbooks...Note: You will need both the teacher and student editions to get the most out of this workbook program.,
Totally enjoyed this.  Even had a twist at the end.,Really good book.  I was totally immersed in the story beginning to end.  Great mystery that had my heart racing.  Amazing what a little tune can put in motion under the right circumstances.,
This book has sufficient depth to satisfy most Selby researchers,"This book has sufficient depth to satisfy most Selby researchers.  However, be aware that there are other Selby families that are not in the book so you should use it as a guide for further research.",
"Great Guide to Ireland, Everything I Wanted","I usually get guides to get myself excited for a location and that is what I was hoping for with this one.  We have been watching groupon and budget trips and Ireland is often on the list so we wanted to know more.  And this DK guide really got our hearts pumping for a chance to visit.  That is what the DK guides do best, they expose you to so many places and photos.  It is not the best for an exhaustive list of hotels and restaurants, but it is the best for introducing you to a local...This book is filled with everything that makes me love the DK guides.  There are lots of photos, good written content, great maps and fantastic illustrations of structures and even city blocks.  We have used these guides for the US, Mexico, Italy and others and they really are my first go to guide on a area.  Highly recommend them in general, and even more so for Ireland.  We are looking to book!",
Five Stars,Very informatics,
THE BEST,"This book is both funny and complex..The characters are very alive, siblings acting from the lowest impulses and the highest intentions..The parents unconsciously doing and have done their unbridled worst....It is a fascinating plot, brilliantly executed...I simply LOVED this book as an exploration of family madness (just like mine) and a very fun read, THE BEST..",
Love It!,Amazing Book!,
Know your history,Well researched book.  Story line could use more character development. Sometimes a little too zealous in the prayer area.,
Just Five,We all just love this book and we read it all the time.,
SUCH nice quality,"I had this book for my son, who would now be in his mid 30's and he loved it. He listened to it year round. I bought it for his daughter for this Christmas!",
twist/ turn,"The descriptive writing again draws in the reader. The characters become more familiar as the story weaves to an end. You can almost feel the dreary rain and smell the spirits, both kinds. On to book three where the author perhaps will reveal the characters even more. Poetic and thoughtful!",
fairly good book,the book was very interesting but sort of dragged at the beginning.  It did pick up toward the middle and the descriptions in the jail and at the trial was very good.,
Too heavy to enjoy reading,"The few pages are printed on paper near the thickness of enameled cardboard. This makes it difficult to turn pages while holding the (very heavy) book up in your lap. Also too many ‘unknown’ reasons for many bird characteristics and activities. This one goes to our local public library for their shelf, not for my personal bird reference library.",
100% recommended,"I love it, es de lo mejor me encanta!",
Slow and lost it's way with the modern day storyline.,"If this book had simply been the story of the Duchess of Marlborough ( Gladys Spencer-Churchill), I probably would have loved it. The secondary story line with Annie and her mother, Laurel, just dragged and felt entirely irrelevant to me. Neither of those women were of any interest to me. They were in the way of the really interesting character and story - The Duchess. I found myself just skipping pages because I wasn't invested in the book and actually choosing to read other things first. The writing here isn't bad, it just wasn't a tale I could get lost in.",
Capturing,Good ending. Took me 2 weeks to read but I liked it a lot. It's a book I'd definitely recommend if you like crime thrillers.,
What a beautiful book!,This book is so clever how the raised letters fit into cutouts in the opposite page. The colors are bright large and engaging for a young child. My 2 yr old was immediately happy to sit down with me and repeatedly flip back and forth through the pages which she almost never does. She was pointing out all the letters and animals she recognized and I think yak is her new favorite word!,
Five Stars,Beautiful book for the price.,
Was a gift,"Was a gift: the product was delivered on time, packaging was in good condition, the product was in good condition and appeared to be as described, and received positive response for recipient.",
Wisdom for Aging,A true “gift”  for all of us who are struggling with aging. Parker Palmer’s insight and wisdom prevail.,
"Not for me, but still well done....","This book is incredibly well done, as far as being a mix between Shakespeare and Mean Girls. That said, it's not for me. I take the full blame for that. I've always liked Mean Girls, even if it's out of character for me. I found myself curious about this book. When it comes to Shakespeare, though, I prefer watching his works, not reading them. This book is so well done with the Shakepeare part that I found myself, as usual with Shakespeare, just wishing I could see it as a play/movie. (It is written out like a play, which may be obvious to most.) While it's not for me, I do think if you love reading the works of Shakespeare and you love the movie Mean Girls, this book will work great for you.",
Five Stars,Adorable! Bought for 3 year old nephew and he loves it. Great quality and colorful illustrations.,
Son really love it,My son really love truck and cars so I bought this book for him and he absolutely love it. We read this every night and he already memorized all the trucks and cars in the book. I love how simple the illustrations are. Very nice book!,
The First Patient,gripping and exciting and hard to put down.  compelling all the way to the end and can't wait for the next novel,
Great for beginning independent readers.,A very easy to read bio for a school project.,
Strange Maladies for Sure,"Early on in the book I was reminded of Eric Berne's work of forty years ago...which he titled Games People Play in an attempt to describe both functional and dysfunctional social interactions...Berne described the types of social interactions. Now comes Jhumpa Lahiri with her extraordinary talent which allows her to describe how these people communicate with each other and more amazingly, what they say when they communicate with themselves...She is truly an Interpreter of Maladies and as Frederick Busch noted in his oft quoted praise of her Pulitizer.... ""Lahiri honors the vastness and variousness of the world.""..I suspect there are few people who suffer from such maladies but they need an interpreter just like everyone else, I suppose...And Ms. Lahiri is a good one.",
Fantastic read,This book surprised me within a few chapters! The plot is truly amazing and I cannot wait to read the sequel...outstanding author!,
Exploring worlds you never knew existed,This is an absolutely delightful and entertaining book. Great if you like math but intriguing even if math doesn't come easy. Each chapter takes you on a journey exploring worlds you may never knew existed. It is written in an engaging style that keeps you interested even when the math gets a bit overwhelming. Would recommend to anyone with average or above average intelligence and curiosity.,
Great Reading! Can't wait for the next book!,"Great fantasy story with a strong female character that develops throughout the story into a powerful woman. ""Epi"" makes it fun by always getting herself into trouble!  It has a very good suspense plot with unpredictable twists and a nice side romance development. Excellent read.",
'typically great Gardner',"Keep saying 'typically great Gardner'.  Have read about 10 of her books, and all are A-1 in plot, character, 'thrills & chills'.",
Five Stars,Excellent,
Good read,"This was a very good book.  It was hard to put down.  However, the characters should have been better developed.",
good buy,great book. I recommend this to anyone who wants to study this document.,
"Cool science, awesomely conflicted and sympathetic heroine, and a movie-worthy visual adventure.","4.5 stars, actually...MR Carey writes graphic novels/comics in his other writerly incarnation, and the influence of this on this YA future dystopian horror/fantasy is that you are immediately, visually, and viscerally drawn into the story...Although my middle school daughter did not finish the book. So there's that half star the book doesn't get...I was thinking about the difference in our reactions to the beginning of the book (daughter: &#34;what's going on? Who is she? Why do they point a gun at her? Why are the adults so mean?&#34; and me: Ooo, look what Carey is doing here by setting up Melanie as our POV character in the beginning, he can make us entirely sympathetic to Melanie and her girl-crush on her teacher Ms Justineau while at the same time give massive hints to readers familiar with the paranormal fantasy tropes of what exactly the reason is that everyone treats her like garbage and she isn't let out into the outside world) and I think its based on the fact that I am a long-time fantasy/sci fi fan and so pretty much immediately knew what was up with Melanie...My daughter didn't, and so the fact that the book doesn't start answering questions until about halfway through really bothered her...This is mostly a thriller and adventure-through-ruins-of-society kind of story. While Melanie is the main character, we mostly get her POV in the beginning long enough for us to get attached, and then we get shifting POV as she travels with Ms. Justineau, a scientist, and a few soldiers towards the city of Beacon. By the time the POV shifted, it was fine, I was already hooked to Melanie...Another thing that pleased me about this book was the level of science. There are medical explanations and descriptions of cool med-tech tools used in discovering those explanations for Melanie's condition that totally ring true...But the thing that stood out for me the most is that this book really delves into human relationships vis-a-vis the difference between the terrible creatures outside the gates, Melanie herself, Caldwell the cruel and detached scientist, and Ms. Justineau. What are the emotions that make us human? At what point is it worth saying &#34;humans&#34; deserve to live and win-out over other creatures if those humans are willing to perpetuate atrocities in order to do so?..And what about the fierce, uncomplicated loyalty and love between mother-figure and daughter?..Cool science, awesomely conflicted and sympathetic heroine, and a movie-worthy visual adventure.",
fun story for little children,"I bought this for my 2 adopted children and also my daycare children. It was to replace an old book that I'd had over 30 years ago, that I use to read to my 1st child. It was a favorite of hers! I'd read it so many times to her that I actually still had it memorized lol :) Read it, and enjoy!",
This one's fun!,"I am one who loves doing crytograms in the paper from time to time and have, once, bought a book of them.  I like this one a lot.  There is ample space to write the solution above the printed cypher.  The ring-bound style makes it easy to use because the book lies flat when using either side of the page.  I've done perhaps 85 of them and have found no errors.  Love the idea of giving one letter clue (used once) OR the whole answer which I've not yet used.  I'd get another book by H. Hook.",
Jeff Resnick Mystery,"I enjoyed the story lines and most of the characters. Please have more books on Jeff Resnick. Richard is a great brother and the way he takes care of Jeff. Brenda and Maggie, are the best.",
"Short, tight, unforgiving","This is a short story, I liked it and it left me wanting more. That's a success. Without spoiling, this story could take place anywhere in the US and is plausible, believable, and emotional. That's all I should say. I'm looking forward to more by Lucas Mangum.",
Five Stars,"for my blind aunt, she loves them",
Well written,Wish that it was big print!,
young Reacher,Cute story.  Wished it had been longer.  Gives a good picture of what Reacher will become.  Have read all of Lee Child's  work and.They are all good  suggest you start at the first one and read in order.  You will. Enjoy the back story.,
Intriguing from jump..and keeps going,"Love characters & story of The Zone, the Red Rocks.  Timely concepts.",
Good start to an interesting series,"Ryan Graudin's &#34;Wolf by Wolf&#34; was pretty much what I expected in an YA with an alternate history where the Nazi Germany and Imperial Japan won WWII. Yael is the lead character as a survivor of the camps and experimentation, she enters the annual Axis Tour which is a motorcycle race to celebrate the victories of the world war...Putting the time in the mid-50s was a great idea and adding in the 'extra powers' will probably be something that younger readers will like (although I admit that I could have done without it). Yael has a mission though and that is to assassinate Hitler and both the race and the mission create tension enough to keep my attention...The pace was surprisingly slow but I still enjoyed the story overall. This is the first book of the series and it was a good start.",
Five Stars,My daughters very favorite book. I've read it a good 100 times now.,
I don't like short stories,"In general, I don't like short stories. They're usually frustrating because they're over before I can really get to know the characters. However, I read all of these.and was satisfied by most of them.",
Some sweet faces,"I like most of the patterns, some I would change the colors a little. The cover pattern is the most color balanced of all the patterns. There are two patterns that I really like and plan to stitch so it was a good purchase.",
Uneven but worth the read,"Verso was running a sale on their site, so I went ahead and bought this due to my love both of Bohemians and Graphic novels. Overall, it was an interesting book, with biographical info about some people I was familiar with and people I learned about for the first time. The only issue is that there is an unevenness to each of the stories in terms of quality of the art and the research that went into the story. For example, there is an example where the cartoonist is showing the Panama Canal (P. 11) - in a story that takes place prior to the digging of the canal. Little things like that in a book about history make you wonder what is wrong about what you don’t know. That said, the extended piece on Woody Guthrie makes it worth it for me.",
Illustrations are good,Illustrations are great,
worth the money,IMHO a great book for those wanting scale info and music theory....,
A small book with a powerful punch and a great moral story,A small book with a powerful punch and a great moral story. It was addictive reading and easily finished within an hour. Illustrations were great. This would be a great family read.,
Great information,"my kid has sever eczema. So I decided to learn about essential oils/herbs .A friend suggested buying this book. I must say it has been very helpful. It tells you which essential oils to use not just for eczema but for a lot of different things like; diaper rash,cough, fever, muscle aches, motion sickness , just to name a few.",
Yoga book,Lovely,
I couldn't finish it,"It wasn't the fault of the book, necessarily; it could be that I was getting into a series in the middle and didn't have the background. The basic plot--the mysterious deaths of people involved in an auto accident--had to be accepted for the book to be enjoyed, and I thought it was far-fetched. Again, I'm not blaming the author; that's why I'm giving it three stars in a sort of share-the-blame idea; I think it would have been better if I had been able to get into the book before the murders started. My only recommendation to anyone reading this book as his first Roy Grace consider reading the books that came before first.",
Satisfying read,"This is a very involved, expertly crafted tale of dependency, love, mystery and celebrity. #darkcircles kept me interested and excited to see what happened next. I felt the ending was satisfactory and found it to have a little twist with the title..I received a copy of this from #netgalley and the publisher, the review is my own.",
Not one boring sentence and the action never stops.  Great!,"I love true stories about adventures in faraway places.  And this fine book certainly meets that test.  Kelly James gives us a short introductory chapter in which she describes her upbringing on a ranch in the American northwest.  She was raised to ride and shoot and live with adventure.  Soon, she realized she didn't want to be relegated to a typical female role in life.  And so she became a private investigator and has traveled all over the world in a wide variety of international business investigations.  Mostly, she works in Africa and the book is comprised of four separate stories about a few unique assignments...Her writing style is fast-paced, breezy and has the sense of adventure that obviously drives her life.  There's not one boring sentence in the whole book and the action never stops.  I read these stories with the kind of attention that kept me breathless and turning the pages as something new happens on every page.  And my sense of wonder at her bravery and willingness to take risks never ceased.  I just couldn't stop reading  and was sorry when this 235-page book ended...In the first story she investigates a mysterious death of a wealthy plantation owner.  In the second story she travels into the depths of gorilla country.  In the third story she helps a young man visit his war-torn land.  And, in the last story, she is hired to investigate a young female African doctor's disappearance.  Often, she fines herself in  personal danger and has is forced to survive in a very hostile environment.  Each one of these stories kept my eyes glued to the page.  I couldn't put the book down until they were finished...""Dancing With the Witchdoctor"" was a mini-adventure for me.  It brought me to places I've only dreamed of visiting and made me identify with the author's courage, stamina and sense of adventure.  For me, reading this book was like being picked up by a whirlwind and experiencing the trip of my life.  I loved it!..Highly recommended.",
Little House By Boston Bay,"Although not written by Ingalls, Little House By Boston Bay continues in the spirit of her books.  This time it centers on Charlotte, the grandmother of Laura Ingalls Wilder.  It is the first book in the series and starts when Charlotte is almost five years old...Most of the book details Charlotte's life and the almost year that it covers.  Most notably, this book takes place during the War of 1812 and so there is quite a bit of information included in there; especially a copy of the Star Spangled Banner and other songs.  Charlotte's days are filled with chores and playing with her new doll whom she has trouble naming.  She also goes to school and meets a new friend named Susan and even tries to go to Scotland (although she doesn't realize how far away it is.)  She listens to her mother's stories and helps with setting the table with her special ""Saturday Family"" (jars, bottles and etc. with condiments for the table)...The characters in this book are mostly well written.  I do think that Charlotte, being 4-5 in this book, sounds a little too old and mature for the age.  But times were different back then so I could be wrong.  Her brothers and sisters are present but not really developed too much; the same goes for her father.  Where the characters really shine though is her mother.  Her mother is a bright personality with a lot of oomph in her and there is quite a bit of detail written about her...Wiley has a nice writing style and it is somewhat similar in style to Wilders.  She adds the same element of almost a diary type of writing as the other Little Houses' do, but doesn't have as much useful information within the pages.  Out of everything that is described, it is not done in a way that makes me think I could repeat it like I could with the original series.  However, there is a recipe for pounded cheese that almost seems doable by reading the description.  This is a great book for kids and reading it at my age is probably why I find more fault with it in this regards.  It is a simple story about a girl and her life...Not my favorite of the whole grouping of books but it wasn't bad either.  The whole series from Laura's stories, to her mothers, and so-on are a charming group of books.  They are perfect for cozying up by a fire and reading with your children, or even by yourself for reminiscing...Little House By Boston Bay.Copyright 1999.195 pages..Review by M. Reynard 2010",
A Good Read But a Few Quibbles,"The first 3/4 of the audiobook are amazing.  Creative.  Well-written, fast paced and funny.  Then it devolves into Starship Troopers which carries on to book 2 of the series.  I enjoyed it but will stop with book 2.  A huge complaint and probably not the author's fault.  Every quote ends with ""he said"" or ""she said.""  Even in a two person conversation where it is painfully obvious who is speaking.  Maybe ok in written form but in an audiobook becomes like nails on the chalkboard.  It's the equivalent to talking to a person who says ""you know"" after ever other word.  That said, I enjoyed the book and the narrator is excellent.",
Grand-daughter's favorite,This book was for my Grand-daughter.  She has every one of the Dork Diaries books and can't wait for each new one to come out.  She enjoyed this book very much.,
Fantastic!,Just what I had hoped it to be...The book is well written and gives excellent instructions! I feel that I got more then I paid for with this purchase!,
Ordered for My Husband,"Ordered this for my husband, as he's a big Star Trek fan, and he absolutely loves it.  Says there are many recipes he wants to try . I only hope they are down to earth good.  lol...",
$48 for a single magazine issue,"Yeah,  Vonaumer Reports is a good resource when buying a car. But $48 for a single copy?  Good to see that the price is now $36.50 now that the model year is over.  Might be the most overpriced item on Amazon.  But it is helpful.",$$$
Five Stars,Great read!,
Four Stars,This a great read - the coziest of cozies,
enjoyable,"good story telling; different & interesting; a very enjoyable read; more like the ""classic"" Grisham tales",
Great,Inspirational gift for a friend.  Great service,
suprised me. . .,"kept my interest to the end. a quite life of dedication to a hobby , a love that becomes thier career. and a glimpse of  job well done can become a passion.",
Five Stars,Excellent source book for writers.,
Great Suspense and Characters!,I love the suspense and mystery!!  Awesome book!  I am ready them all!!,
